record_id,x1,x2,x3,x4,y1,y2,y3,y4,label
ocid1.datalabelingrecord.oc1.ap-tokyo-1.amaaaaaassl65iqa4yo62a54ruhf4uf7cphkqv4nodicgoq3gnvwb7bs2zsq,0.06367583213017752,0.06367583213017752,0.21490593343195266,0.21490593343195266,0.49734555973684214,0.49734555973684214,0.6144626768421053,0.6144626768421053,['car']
ocid1.datalabelingrecord.oc1.ap-tokyo-1.amaaaaaassl65iqa2s2n3hahbvzll6s7twowr2hffdfeoooaw3o3eyqyndma,0.0,0.0,0.0626365622781065,0.0626365622781065,0.5167179405263158,0.5167179405263158,0.5944381476315789,0.5944381476315789,['car']
ocid1.datalabelingrecord.oc1.ap-tokyo-1.amaaaaaassl65iqa2s2n3hahbvzll6s7twowr2hffdfeoooaw3o3eyqyndma,0.16533139112426037,0.16533139112426037,0.3357611071005917,0.3357611071005917,0.5128319299999999,0.5128319299999999,0.6358889249999999,0.6358889249999999,['car']
ocid1.datalabelingrecord.oc1.ap-tokyo-1.amaaaaaassl65iqa2s2n3hahbvzll6s7twowr2hffdfeoooaw3o3eyqyndma,0.36052439911242606,0.36052439911242606,0.5032774945266272,0.5032774945266272,0.5037645726315789,0.5037645726315789,0.6048008418421053,0.6048008418421053,['car']
ocid1.datalabelingrecord.oc1.ap-tokyo-1.amaaaaaassl65iqa2s2n3hahbvzll6s7twowr2hffdfeoooaw3o3eyqyndma,0.8324836125739644,0.8324836125739644,1.0,1.0,0.47008581605263156,0.47008581605263156,0.5879614636842105,0.5879614636842105,['car']
ocid1.datalabelingrecord.oc1.ap-tokyo-1.amaaaaaassl65iqadhk5r34sb4yxt7ocafjgcvlpkvuogvurxw5gh6gznzwq,0.8244719591715977,0.8244719591715977,1.0,1.0,0.4467697539473684,0.4467697539473684,0.5866661268421053,0.5866661268421053,['car']
ocid1.datalabelingrecord.oc1.ap-tokyo-1.amaaaaaassl65iqahfpjauxb4n7weu7mt4qfowy55aajgxlhwnhqv3tklbpq,0.18499635828402367,0.18499635828402367,0.3313911143491124,0.3313911143491124,0.5037645726315789,0.5037645726315789,0.6151635363157895,0.6151635363157895,['car']
ocid1.datalabelingrecord.oc1.ap-tokyo-1.amaaaaaassl65iqard5o7yaoxk5w42vpekzaii6eaww5lcmtk2v7uq7flcsa,0.869628550591716,0.869628550591716,1.0,1.0,0.48433452078947364,0.48433452078947364,0.5879614636842105,0.5879614636842105,['car']
ocid1.datalabelingrecord.oc1.ap-tokyo-1.amaaaaaassl65iqayr5wg7tncykluh7iuk62c2zcqdnhw2ltt2acj6dffaka,0.48798251997041425,0.48798251997041425,0.7938820102071006,0.7938820102071006,0.4117956605263158,0.4117956605263158,0.6592049871052631,0.6592049871052631,['car']
ocid1.datalabelingrecord.oc1.ap-tokyo-1.amaaaaaassl65iqas65s5qfl7exj7cspebvoo4bqrypfkymgjsvc7nljqtka,0.0,0.0,0.07283321193786982,0.07283321193786982,0.5218992876315789,0.5218992876315789,0.6216402202631579,0.6216402202631579,['car']
